Name ,Icon Color,Long,Lat,URL,Address,
Disney's Magic Kingdom,R,-81.581201,28.417993,https://www.tulipandsnowflake.com/wp-content/uploads/2017/04/disney-magic-kingdom-castle-dusk.jpg,"1180 Seven Seas Dr, Lake Buena Vista, FL 32830",
Disney's Animal Kingdom Theme Park ,R,-81.591836,28.365997,https://www.chicagotribune.com/resizer/wIA91HmVjAS4BXybrmJOBR_Jb3g=/fit-in/800x533/smart/filters:fill(black)/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/RTDKO4AXMNANHMEVPYRDLFA26Y.jpg,"2901 Osceola Pkwy, Orlando, FL 32830",
Disney's Typhoon Lagoon Water Park,R,-81.529603,28.3661,https://www.orlandovacationplans.com/wp-content/uploads/2019/02/typhoonlagoonmountmayday.jpg,"1145 East Buena Vista, Boulevard, Orlando, FL 32830",
Seminole Hard Rock Hotel & Casino,R,-80.210997,26.051358,https://ewscripps.brightspotcdn.com/dims4/default/a396ac8/2147483647/strip/true/crop/640x360+0+120/resize/1280x720!/quality/90/?url=https%3A%2F%2Fmediaassets.wptv.com%2Fphoto%2F2017%2F10%2F26%2FTaste-and-See-900x675-hard-rock-2_1509029207094_69819231_ver1.0_640_480.jpg,"1 Seminole Way, Hollywood, FL 33314",
Dolphin World,R,-80.135293,26.101098,https://media-cdn.tripadvisor.com/media/photo-s/15/1c/10/6b/pattaya-dolphin-world.jpg,"757 SE 17th St #688, Fort Lauderdale, FL 33316",
John F. Kennedy Space Center,R,-80.648927,28.573202,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Kennedy_Space_Center_Visitor_Complex.jpg/220px-Kennedy_Space_Center_Visitor_Complex.jpg,Florida 32899,
Rooster & the Till,O,-82.459732,28.007132,https://i.pinimg.com/originals/9a/b1/2a/9ab12a427256568c8ed6a7a8b9168417.jpg,"6500 N Florida Ave, Tampa, FL 33604",
Michael's Genuine Food & Drink ,O,-80.19266,25.813531,https://cdn.vox-cdn.com/thumbor/2t0DsfqPxnPTJeVOy71WKQWG9ew=/88x0:1509x1066/1200x800/filters:focal(88x0:1509x1066)/cdn.vox-cdn.com/uploads/chorus_image/image/50714169/michaels-bar-04.0.0.0.0.jpg,"130 NE 40th St, Miami, FL 33137",
Jaxson's Ice Cream Parlor & Restaurant,O,-80.144079,26.049784,https://img1.10bestmedia.com/Images/Photos/233141/p-Jaxson-s_55_660x440_201404241457.jpg,"128 S Federal Hwy, Dania Beach, FL 33004",
Panda Express,O,-80.475624,25.456759,https://media-cdn.tripadvisor.com/media/photo-s/0f/66/81/e9/photo0jpg.jpg,"33550 S Dixie Hwy, Florida City, FL 33034",
Hooters ,O,-80.249431,25.750564,https://images1.miaminewtimes.com/imager/hooters/u/original/6420222/8582868.0.jpg,"3301 Coral Way Unit 104, Miami, FL 33145",
The Florida Mall,R,-81.395372,28.44547,https://embed.widencdn.net/img/visitorlando/3nm9gzscc4/800x600px/7891_shake_shack_exterior.jpeg?position=c&crop=no&color=ffffff&quality=100&u=er4pqc,"8001 S Orange Blossom Trail, Orlando, FL 32809",
